Populations,CD19,ASMA,CD4,CD44,CD71,CD271,CD90,VIM,CD68,SPINK2,CD117,FOXC1,CD61,CD8,CD11C,CD15,CD123,CD138,CD14,PLP1,CD11B,HLA-DR,CD34,CD79A,CD10,PAX5,CD146,CD3e,CD33,GATA1,MPO,CD163,CD38,VECAD,CXCL12,CD45RA,GYPC,TGFB1,CD141
Macrophage,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Mature Myeloid,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Early Myeloid Progenitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
Intermediate Myeloid,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,
Plasma_cell,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,
B_cells,,,,,,,,,,,,,,,,,,,,,,,,1,,-1,,,,,,,,,,,,,
Immature_B_cell,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
AEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
SEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,1,-1,,,,
GMP/Myeloblast,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
CD34+ CD61+,,,,,,,-1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,-1,,,,,
HSPC,,,,,,,,,,-1,,,,,,,,,,-1,,,1,,,,,,,,,,,-1,,,,,
GMP,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,-1,,,,,
MEP/Early Erythroblast,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
HSC,,,,,,,1,,,,,,,,,,,,,-1,,,1,,,,,,,,,,,-1,,,,,
CLP,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,1,,,
SPINK2+ HSPC,,,,,,,-1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,-1,,,
Erythroblast,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
Erythroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CD4+_T_cell,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CD8+_T_cell,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
Plasmacytoid_dendritic_cell,,,,,,,,,,,,,,,,,1,,,,,,-1,,,,,,,,,,,,,,,,
Monocyte,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,
Non-classical_Monocyte,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
GATA1neg_Mks,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,-1,,,,,,,,1,
GATA1pos_Mks,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,
Adipo-MSC,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
THY1+ MSC,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Adipocyte,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
Schwann Cells,,,,,,,,,,,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,
VSMC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,
