method;Weighted F1;Hierarchical F1;Macro F1;MCC;ARI;JSD Scaled;Overall Performance;Stability;Scalability
XGBoost;0.8566268064970087;0.9020165029472687;0.8301664554183288;0.8305045651110267;0.7326113300336864;0.9506376620958574;0.8504272203505294;0.8416422626001074;0.6248908506944444
Random Forest;0.8189965173572556;0.8840474779730698;0.7817592919333116;0.7896163007373175;0.6782903502516285;0.9216029725593962;0.8123854851353298;0.7414910322999893;0.6245277951388889
MAPS;0.8104344586363306;0.8690928737423131;0.7718457122684788;0.7771610378321785;0.6686378558671757;0.9177225072196078;0.8024824075943475;0.7550272762741382;0.6108938628472222
Logistic Regression;0.7408307546676605;0.8059688996947298;0.6767515013951824;0.6911807627017679;0.5686609845647487;0.8652107801251294;0.7247672805248697;0.7518044876943224;0.6249108072916667
CellSighter;0.6847108561909478;0.7676119563541132;0.6094903608138205;0.6225712786565097;0.5240180722205376;0.8845234709471815;0.6821543325305184;0.7999516604123371;0.3083562326388889
FlowSOM;0.6210860746751904;0.7568769171336764;0.4694579774006016;0.5601840855434077;0.4738705248427994;0.8116354609259693;0.6155185067536075;0.9663574589865492;0.6246056076388888
Scyan;0.617995663659377;0.7343902622401091;0.5189454936240013;0.5627435223469953;0.4745032674827031;0.7642948673245871;0.6121455127796288;0.8882889884858365;0.8722727430555555
Leiden;0.6063612750242856;0.7422415458872477;0.4753428682600329;0.5381647855704041;0.4403679911923104;0.8112391978016842;0.6022862772893275;0.9638276061835451;0.6150770486111111
CellLENS_Lite;0.5995300668319932;0.745102610715572;0.4975291143575743;0.5402178671748833;0.4375657064197461;0.7898226533365604;0.6016280031393881;0.9240211400136692;0.603295451388889
Phenograph;0.5745605008545708;0.7214071927032116;0.42430215773914437;0.4994647131699538;0.40051774926320716;0.7901385780044985;0.5683984819557644;0.9609151493919754;0.6003353472222223
Tacit;0.5717039493036473;0.6728668203010647;0.47308769575900933;0.47732266121251543;0.3632453436606313;0.7663695464282574;0.5540993361108543;1.0;0.866198125
CellLENS_Full;0.5316863969191459;0.7028848506217189;0.38060335985996524;0.46777424794160927;0.39118331542906554;0.7091638549409831;0.530549337618748;0.9000910352098147;
FuseSOM;0.5237464929179835;0.7231141804787058;0.33467797007364924;0.47224255312399444;0.39866257560304513;0.684309237715007;0.5227921683187309;1.0;0.6233306076388889
Tribus;0.5272356181112549;0.6089018211324659;0.4077829776141103;0.42732609487705997;0.3240580378105544;0.6693470628107794;0.4941086020593708;0.7421131444468005;0.7981774652777778
Nimbus;0.4837375038176741;0.6393025582647052;0.3076205358119096;0.38803342594627993;0.30562235749271405;0.7396383605289482;0.47732579031037187;0.9649906721312536;0.6135815104166666
Astir;0.5406849692538982;0.5343669833670952;0.4296329943180779;0.42097464567669274;0.2823874234392875;0.5298896559277713;0.4563227786638038;0.913474653663469;0.8565508333333333
RIBCA_adapted;0.3175744092771111;0.5100744683281845;0.3135191607894582;0.34040667457558593;0.23367012765977663;0.45921619871672437;0.36241017322447344;1.0;
FlowSOM Meta Clusters;0.3212530773380975;0.6040640804868813;0.12949062633295985;0.25581803427425087;0.2250475676779689;0.42231364705274244;0.3263311721938168;0.949259078301363;0.6246056076388888
RIBCA;0.27345503411046695;0.47806916285971823;0.21599696938462276;0.29209563672708505;0.19708707980801188;0.4566424676255794;0.31889105841924736;1.0;0.9096033969907408
Deepcelltypes_adapted;0.26844931124980614;0.39308872795658123;0.0917147722854825;0.07989755381453585;0.0764271034206625;0.48025101913955226;0.23163808131110342;1.0;
Stratified sampler;0.17537392506813948;0.33497528342242155;0.06864358663126705;9.41423143908183e-05;0.0001841056793534;0.7569788810396987;0.2227083206925452;0.9710737387971338;0.49999939236111113
Deepcelltypes;0.20555014196431348;0.3422221519425966;0.0255558846073577;0.06623723006692214;0.0661879527426647;0.39739699879791;0.18385839335362744;1.0;0.9178794270833333
Most Frequent;0.17179930564206736;0.45472651496748245;0.033919500414268694;0.0;0.0;0.2987585462471113;0.15986731121182163;0.8826923713838063;0.49999997395833334
