method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability;overall_score_mean
CellLENS_Lite;level_1;0.7955859096814943;;0.8118385446176799;0.5939051764058678;0.7242351600655532;0.6960933756776553;0.6914562166055355;0.9617110196573571;0.9805951840619714;0.561703941617872;0.4407242524074319;0.14438553542148572;0.8556144645785142;0.06581116665399799;0.9384907519593169;;1698.0520000000001;0.010778369936776229;;0.011502433808428044;0.011025425893109576;0.19171551827641606;0.016943008417588487;0.0183080557617184;0.02624634567523012;0.01342128215863633;0.02375114511971457;0.021674219981720685;0.024221190665499336;0.024221190665499357;0.018877572727613694;0.016815671374094177;;0.0;0.9461081503161188;0.782110835404617
CellLENS_Lite;level_2;0.7647359843576369;;0.7854960546205895;0.5920559879170739;0.6635585642992033;0.6834797413615601;0.6791369944945553;0.9838636968408532;0.9918765047238762;0.5905139274049954;0.4505158152485459;0.149421130651054;0.850578869348946;0.07114081383910863;0.9338139381195877;;1698.0520000000001;0.00936198278527135;;0.009045440134986014;0.0106608329272989;0.14424478519665354;0.013368714349949021;0.014546772362333222;0.014770985728453574;0.0074746419311763;0.022771277346217377;0.01606378594808669;0.022851058701491057;0.022851058701491074;0.018705840820717128;0.016455605971915945;;0.0;0.9531900860736433;0.7804832197549759
CellLENS_Lite;level_3;0.6667966830981132;0.7753398676611056;0.7035975472362656;0.48687888305988614;0.46194780109676375;0.5972354656679132;0.5925469043300616;0.9745131344777169;0.9871673815434105;0.613933546772117;0.45375611207295863;0.22163569744579908;0.7783643025542009;0.16131755567908077;0.8618290559991104;;1698.0520000000001;0.011249527352905136;0.008584066230084104;0.008539550254128758;0.020460399340151092;0.06708395076866987;0.01328743307547945;0.013713774296795406;0.00815443132540882;0.004137525595614648;0.020043727731153732;0.0160259088405999;0.029031423824294047;0.029031423824294043;0.03858127546903015;0.02778098815346082;;0.0;0.9437523632354743;0.7296024343801064
FuseSOM_15;level_1;0.8065539385194926;;0.8240537980429516;0.6020360251796728;0.8146479601653269;0.7123929602767078;0.710701360875784;0.9956012643455712;0.9977982082292847;0.5829188981517563;0.4573657316798707;0.14476972633510016;0.8552302736648997;0.06084051324017935;0.942648765313128;;110.498;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.8035618281801357
FuseSOM_15;level_2;0.769323915486562;;0.781364508430008;0.6003161735780186;0.772792541303025;0.6854721201846385;0.6811554474091351;0.9361026076459973;0.9675239571431795;0.5850242469932904;0.4575306901188999;0.1642454641349466;0.8357545358650535;0.08585915656967216;0.9209297485311916;;110.498;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.778475886318981
FuseSOM_15;level_3;0.6408002020210466;0.7675998548665577;0.6851571917036557;0.33516715200599406;0.5732796358645623;0.580773521915954;0.5740822282618885;0.9313289513229648;0.965053859286084;0.6075084941883921;0.4452552764913856;0.3017220790017619;0.6982779209982382;0.3020645798642602;0.7680110614054563;;110.498;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.7022079556339977
astir;level_1;0.6837577714239197;;0.6023035677955535;0.37161562390849356;0.4787690656396079;0.485448181576653;0.4430490145776161;0.3589103458638382;0.5922073917713929;0.34770483613972436;0.33730466915841684;0.43511063115482296;0.564889368845177;9.746211631283602;0.09477522016458576;;1103.4519999999998;0.034800139966529114;;0.011632803685407806;0.02054717757904861;0.02057301509651125;0.04146915584909672;0.029845747588669376;0.1161865585149885;0.10124691967636681;0.05926906436797266;0.07363590423348919;0.02478213218131415;0.024782132181314177;1.662930062382953;0.013887662140995896;;0.0;0.8259993001673545;0.5234440036916163
astir;level_2;0.660952250325731;;0.571630457847772;0.40258468683454696;0.4962884764641018;0.49591957938822195;0.4548271487257984;0.2026387064742811;0.4485882318419008;0.3630066265833445;0.37908609650241776;0.443928162371695;0.5560718376283049;9.778158380283742;0.09442539384628224;;1103.4519999999998;0.029851725692625126;;0.017159260907873855;0.024278281167481847;0.010721614798398374;0.028905953767445612;0.021424432830169125;0.037064471419735366;0.04194199457641107;0.03743137855882313;0.04282090586056738;0.016746099153603144;0.016746099153603124;1.6337260462648255;0.0135675672284435;;0.0;0.8507413715368743;0.49454322883983015
astir;level_3;0.6349800910811004;0.5665886893393245;0.5433401076748403;0.45802082983950676;0.518254114206208;0.4946087111495038;0.4566312645156726;0.3654595093820669;0.6044117801381309;0.38807350888596026;0.46199993782890586;0.471053575287134;0.528946424712866;9.903773370593287;0.09313423268925443;;1103.4519999999998;0.019182610287494902;0.017812193251960498;0.020671073743324882;0.007766388498163906;0.015477450923653293;0.025179022849332263;0.01903324242285423;0.016309956097227764;0.013505064435361931;0.025271636935114063;0.02172781453070842;0.0020276351768374976;0.0020276351768375297;1.5450719761070748;0.012552039766272477;;0.0;0.9040869485625255;0.5388458612477008
celllens_full;level_1;0.7663588464814994;;0.7754881135464224;0.43927075264342036;0.7712229746416897;0.6505964048818231;0.6413130583967634;0.9079377901853611;0.952579964268627;0.521391150170788;0.3997844176426761;0.18100932574902198;0.818990674250978;0.11280996089725603;0.8992854582671412;;;0.011821327544164508;;0.016205536835437746;0.010394028819621554;0.015013019029551522;0.016821558895531493;0.0199744522692778;0.048689436651319834;0.025719687482122194;0.017162839448408088;0.011848138154299139;0.02089582658564427;0.02089582658564425;0.03384051403810703;0.027113319618570286;;;0.9408933622791774;0.7328699380948758
celllens_full;level_2;0.7099713411877415;;0.7330219615547005;0.4277901660552447;0.6102837555705213;0.612692178785418;0.6045674787899434;0.9231769682137021;0.9605821802673313;0.5468002252296401;0.3934737737868529;0.19996211414309523;0.8000378858569048;0.13881974225913998;0.8797599079840518;;;0.01380679047063143;;0.009944269362962959;0.011298050186809768;0.034380431614518224;0.02153393857513674;0.020131040464494373;0.045940384581679525;0.023948986579866473;0.02642456390827942;0.032951512780108286;0.036461762607142977;0.03646176260714298;0.055323437482412384;0.04267364201286773;;;0.9309660476468429;0.7166187275256184
celllens_full;level_3;0.5729115005540318;0.7185523556174325;0.6292157150138805;0.2997311004128605;0.39388413364312835;0.498524806993244;0.48973801213182033;0.9268778106749354;0.9626519936704998;0.5667559839256588;0.3812666493620077;0.3304699280132576;0.6695300719867424;0.35287626634790803;0.7406611387740487;;;0.015879466260445847;0.009287011787419861;0.0081915681705752;0.026091574970793913;0.0938652820073094;0.016501487467784168;0.01750349127657374;0.02871683854346057;0.014956175862647931;0.016632291490910982;0.025716370793779957;0.03257656221930676;0.03257656221930682;0.06916412374168483;0.03659757594019293;;;0.9206026686977707;0.6518899546749668
