method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability
CellLENS_Lite;level_1;0.8850569513567639;;0.7945886051973634;0.2799647568547543;0.7945886051973634;0.0;0.0;0.962804936054779;0.9811797367359414;0.0;0.0;0.3324301972659914;0.6675698027340087;6.651594328212174;0.1341250953257742;;1698.0520000000001;0.02602908787983547;;0.04149730356967779;0.03130730607433752;0.04149730356967779;0.0;0.0;0.020870632892964643;0.01068060587978538;0.0;0.0;0.03617378241022862;0.036173782410228617;1.4190821675930096;0.02316639715566285;;0.0;0.8698545606008227
CellLENS_Lite;level_2;0.8218421148859116;;0.7415107205091295;0.36598345970847496;0.6599867793800804;0.49401788755968096;0.4576472394530441;0.899720301954311;0.9482541825846136;0.4505877905013733;0.30531474332046293;0.33490804102168015;0.66509195897832;6.657252525086809;0.13401262213576043;;1698.0520000000001;0.03270016777306579;;0.04609553979541654;0.02830475242173454;0.044980427204119364;0.055350541625732004;0.06326746598536029;0.0486537238014774;0.025843450937744032;0.07470991569146009;0.045565554597564416;0.03525065736307629;0.035250657363076275;1.4173613811829153;0.023103872369341923;;0.0;0.836499161134671
CellLENS_Lite;level_3;0.5091598422739614;0.7132701972372838;0.4544681415258732;0.2055747482718236;0.3270344788179105;0.3817941204890537;0.35957611699540626;0.3718955542730602;0.6057042794577033;0.3105142944955106;0.3864815960960103;0.5628107240254627;0.4371892759745372;13.167747849953509;0.07102021878468873;;1698.0520000000001;0.05736528330392744;0.043868854450455304;0.043553477049526765;0.013740145384895512;0.0733185044106485;0.04656107435828775;0.047587488788274845;0.09731383990999842;0.07919817011526102;0.05718498528512641;0.03015415948894243;0.03690117983372787;0.03690117983372787;1.2408498807739377;0.006256923649970497;;0.0;0.7131735834803627
FuseSOM_15;level_1;0.9112599306081837;;0.8369857564967041;0.3037533102027279;0.8369857564967041;0.0;0.0;0.9810764544148242;0.990493036025405;0.0;0.0;0.29450205434356447;0.7054979456564355;5.225117004534587;0.1606395509147163;;110.498;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
FuseSOM_15;level_2;0.8118975870355364;;0.7425657246761118;0.38381363825143955;0.7209961848311153;0.5042963070355997;0.46814210115339383;0.9608841018973815;0.9802469596470991;0.39199802308612514;0.2688282521951546;0.2974671892425049;0.7025328107574951;5.23168451053219;0.16047025460128747;;110.498;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
FuseSOM_15;level_3;0.38814533180359895;0.6926194805525056;0.3622622925979241;0.15131095246576629;0.3763731802411424;0.2712208109582521;0.24991288947720483;0.21970958998414258;0.4687318956334662;0.2701121302045689;0.30536435264765993;0.6630516035182514;0.33694839648174857;16.2696861351682;0.05790493192366639;;110.498;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
astir;level_1;0.888993232636639;;0.8003182059246912;0.22224830815915975;0.8003182059246912;0.0;0.0;0.9654106494947076;0.9825456666722063;0.0;0.0;0.3281812511155003;0.6718187488844997;6.405589255216485;0.1357623355706253;;1103.4519999999998;0.011327814976228779;;0.01828580617229903;0.00283195374405719;0.01828580617229903;0.0;0.0;0.008405924046884559;0.004281121111543762;0.0;0.0;0.016192077687053868;0.01619207768705385;0.616126122609861;0.010957331266269858;;0.0;0.9433609251188562
astir;level_2;0.8138764598513772;;0.7313679066595954;0.3066554949557993;0.6942183041669747;0.5000124123833103;0.45854693951389675;0.9327473644314577;0.9657565408309509;0.41513626030093664;0.28931181757326535;0.3289638281304734;0.6710361718695266;6.407412473033427;0.1357246994257034;;1103.4519999999998;0.007097885399928113;;0.012830757786590577;0.0055169990942065756;0.02759074448295445;0.01841613066916187;0.020166119618195685;0.01692896886264145;0.008779825859146695;0.0052644790208190555;0.00785788018415745;0.015485144500102055;0.015485144500102032;0.6144809365502862;0.010923051374036315;;0.0;0.9645105730003595
astir;level_3;0.7719823063651023;0.7251254784814432;0.6829191605424654;0.3678921182139498;0.5894313183940243;0.6371619261299505;0.6187333550818404;0.660100248144824;0.8118069272542305;0.585543851407203;0.5526879015467507;0.40060851825323035;0.5993914817467696;8.509985236999654;0.10551644305375248;;1103.4519999999998;0.01278516031772102;0.012912062281718914;0.011943595796518009;0.010613333481148818;0.04997060914417918;0.011009536665676826;0.013439981095773526;0.05887675876498533;0.03656776255919392;0.006668309651393959;0.0020676745067743705;0.023199222347497026;0.023199222347497023;0.6324113243898403;0.006839513241653062;;0.0;0.9360741984113949
celllens_full;level_1;0.8645569917654369;;0.7622736570952344;0.2881856639218123;0.7622736570952344;0.0;0.0;0.992945087355705;0.9964589549467775;0.0;0.0;0.3602472098553432;0.6397527901446567;7.676796039984116;0.11815442946383106;;;0.027732880574830983;;0.04333888151035801;0.009244293524943645;0.04333888151035801;0.0;0.0;0.008515747478182043;0.004277625229215375;0.0;0.0;0.03686854030184111;0.036868540301841134;1.4624588713940683;0.021778332770940916;;;0.8613355971258451
