method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability
CellLENS_Lite;level_1;0.8988181594238416;;0.8859896664507261;0.5612245888073092;0.8601926071533276;0.7499967372856668;0.7470114503076484;0.9849415014541034;0.9924261800586895;0.6350445950252531;0.49160881005656265;0.12989606929833672;0.8701039307016633;0.9511268947633222;0.5197005929808134;;1698.0520000000001;0.011757960201150955;;0.013176552962497062;0.06262617071758698;0.022020754955993222;0.028494345827051324;0.0305012259039655;0.012496020073692736;0.0063026371683745355;0.03633485133573031;0.02948204294850088;0.019126479922226075;0.01912647992222608;0.26510296513735737;0.06642421902337488;;0.0;0.9412101989942452
CellLENS_Lite;level_2;0.878783675117603;;0.8682785318143754;0.571130020742731;0.7400831492295799;0.7296504234393751;0.7277118660150573;0.9910840112318887;0.9955276068213899;0.6603509420440336;0.48927428959102837;0.13103230337124763;0.8689676966287523;0.9521754130967303;0.5193988291772993;;1698.0520000000001;0.0142329126731825;;0.015168816128783628;0.044495012443617706;0.033952672712850136;0.03211459521913048;0.03344428323266727;0.006597834050790742;0.003315736789298175;0.035673993054186406;0.031964216511943554;0.01866289164751357;0.01866289164751353;0.2648777200188785;0.06626899639367051;;0.0;0.9288354366340875
CellLENS_Lite;level_3;0.7789342248601991;0.8588551775714848;0.7724975904185561;0.2697321156503116;0.38890978459796627;0.5747974688503535;0.5699082372172619;0.9783293762123699;0.9891013374141238;0.6823169558827004;0.4770686061727948;0.2983678186920605;0.7016321813079395;3.2162586009395193;0.23753084137664487;;1698.0520000000001;0.020755607505567566;0.01440302991613834;0.01496698897697838;0.013491759075021734;0.08090363354135457;0.030627812806070128;0.031154601221463834;0.006212141729454988;0.0031465334023293183;0.029241905402761333;0.02694101162111157;0.024258881390973715;0.0242588813909737;0.18381367513321653;0.010150937645033317;;0.0;0.8962219624721621
FuseSOM_15;level_1;0.8945785003416014;;0.8814075115738913;0.5895395967042325;0.8696809208750145;0.7437349078531262;0.7422768229145803;0.9987143047666418;0.9993569456238556;0.6161231861076734;0.4721429832619827;0.12245035713034132;0.8775496428696586;0.8908832240476359;0.5288533883437784;;110.498;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
FuseSOM_15;level_2;0.8680378525549856;;0.8499012466621372;0.5781701068701908;0.7773607051855524;0.7068662306004128;0.7030571790231313;0.9862101649191797;0.9930811471975387;0.6405835473933305;0.4762332512880102;0.13830234053846702;0.8616976594615331;0.9078283286996156;0.5241561753523204;;110.498;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
FuseSOM_15;level_3;0.7359117341244925;0.8332350841073966;0.7230008374283051;0.2297499613787108;0.4685052436308938;0.5043473262553392;0.49614449110673553;0.9530793059511884;0.976257807114078;0.6592117317694013;0.44208266276940317;0.38766012448642584;0.6123398755135742;5.4618716812398675;0.15475392414603406;;110.498;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
astir;level_1;0.7808647682349874;;0.686172320624437;0.3939222159954827;0.7088766879991979;0.5430822818409539;0.4827966521898099;0.6994314131484064;0.8362926229551455;0.36915344171676717;0.36516269901392606;0.3788347310557925;0.6211652689442075;8.113960521112066;0.11022230376873506;;1103.4519999999998;0.03748332924138796;;0.024205719044774438;0.019793505970808947;0.017313168850109834;0.03985714496033334;0.036963934877051664;0.012655349766584858;0.007587978914819769;0.0846081099536554;0.08313701144694609;0.007841004372468404;0.007841004372468431;0.6960307059329547;0.00819273486052922;;0.0;0.8125833537930602
astir;level_2;0.7666444467257538;;0.6631648469718276;0.4244703311619869;0.6710217919953788;0.5437013099030017;0.48576496544633213;0.7165368847616042;0.8464148566519423;0.40598996652246094;0.412184424631293;0.38824066446593036;0.6117593355340697;8.146064425268573;0.10979198289614737;;1103.4519999999998;0.029846173804546485;;0.026024034227697414;0.02650197676769337;0.002763069408588999;0.02587284462827979;0.027013964828245505;0.020610803290671848;0.012184785619572827;0.0558757758933637;0.0421197821070241;0.002198290348347899;0.0021982903483479415;0.6670971059276037;0.007803820334710169;;0.0;0.8507691309772676
astir;level_3;0.7602416800570699;0.6610818610621045;0.6469983725449919;0.41363437004082837;0.5942139407055678;0.5457967936348209;0.49298381469294705;0.7329617819280838;0.8561235357183247;0.43469571879660707;0.5113009548910238;0.41370684368331423;0.5862931563166858;9.004236407626621;0.10030011526670146;;1103.4519999999998;0.02304192190203862;0.025999814890557253;0.02634045862971382;0.005467847929351389;0.0374365254236089;0.023292552358231754;0.024212964971178367;0.007239043789241375;0.004223966920819381;0.051700141634268684;0.02291310668345041;0.0032669361888742394;0.003266936188874275;0.6612831250777884;0.0064763326789894545;;0.0;0.8847903904898069
celllens_full;level_1;0.8946645391073623;;0.8677033923746622;0.5864598373682149;0.8371949340040018;0.7253107738218552;0.7177572702223423;0.9692894878790618;0.9844861110566052;0.639065878946621;0.48796770935016776;0.18419240204777262;0.8158075979522273;2.0186544445034267;0.3454869170433436;;;0.00596219713666458;;0.012988016236778019;0.005757489663410323;0.01910440201826668;0.019469296557394825;0.022241853745037;0.01928241826201296;0.009784235771340433;0.012498776212655662;0.014120805605050775;0.030046288141821087;0.030046288141821097;0.6783269018434332;0.08006726600151058;;;0.9701890143166771
