method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability;overall_score_mean
CellLENS_Lite;level_1;0.8567535003195254;;0.8718137286748178;0.44407969207385223;0.7333534284320454;0.38753907464490533;0.3753485221842397;0.9902232896757358;0.9950988385010995;0.4100737178604749;0.29837063746483156;0.22506574755174888;0.7749342524482511;1.0726413247221491;0.5144809652640729;;802.312;0.006917776879429425;;0.015042545628971239;0.012251503719941693;0.032151174698068476;0.028011771942942916;0.02534004357143255;0.002806217057710538;0.0014103587746782083;0.03308155636112736;0.028551898154270207;0.020087349463166836;0.02008734946316683;0.5782689139881516;0.14589230902895634;;0.0;0.9654111156028529;0.6995934977263892
CellLENS_Lite;level_2;0.7294201194486736;;0.7422215869963489;0.6124572284128994;0.5442185279671854;0.5233155763846694;0.5158193731542288;0.9765129453687408;0.9881543637202925;0.38624973732509804;0.28935489680700777;0.10653224534296217;0.8934677546570379;0.04387043869990913;0.9583666762956169;;802.312;0.011112598485402692;;0.012022178027990521;0.022615969977250776;0.045853525466256234;0.021452728951743244;0.020784420896625775;0.017606822743190347;0.008937199595256523;0.018911377762117237;0.01475198206404295;0.03190360089042611;0.03190360089042611;0.02372264472181174;0.02163883189084758;;0.0;0.9444370075729865;0.7131764375982154
CellLENS_Lite;level_3;0.532263450565873;0.7148653537700383;0.5535993486047408;0.5081793456552626;0.48896339477951123;0.4832002686818534;0.47969206751881144;0.8892483115563522;0.9428044593971734;0.2611978660673753;0.3449995766174424;0.19871899588108002;0.80128100411892;0.13519095904249576;0.8815227656477148;;802.312;0.01914201664162717;0.012025894135899863;0.019317852490588462;0.022297035837205992;0.03756470348001958;0.02164762898276698;0.021704792679545285;0.04034442271090083;0.021449443383101886;0.01456370999672724;0.012909208877365932;0.023393100004882837;0.023393100004882816;0.033314521841357046;0.02614346132473881;;0.0;0.9042899167918641;0.617163892759923
FuseSOM_12;level_1;0.8376248744473205;;0.8487498321704369;0.30431794905717496;0.6358133037142631;0.2717646970632251;0.2600780924289334;0.9802582333486771;0.9900799126074002;0.4041762537940251;0.24188694315558865;0.303198233358975;0.696801766641025;2.686001286666751;0.2712967039966227;;81.816;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.6552277605463549
FuseSOM_12;level_2;0.7123338599549123;;0.7214332428136464;0.5102388627957458;0.6022672411294755;0.5012638390379154;0.4997489359143922;0.9874223179781353;0.9936912588818195;0.3327426051158563;0.24685405021004586;0.1371862336326764;0.8628137663673237;0.05745518524366956;0.9456665530176295;;81.816;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.6954305469436026
FuseSOM_12;level_3;0.40669278381492047;0.6786285060908538;0.4513294266942124;0.33418878814130454;0.34593878152840696;0.3637115843320348;0.3540502792114619;0.7316407518393196;0.8553600129999763;0.18981665701769818;0.26945195504155783;0.3296594455682242;0.6703405544317758;0.3800842628318177;0.7245934374674221;;81.816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.5207544760056587
astir;level_1;0.7128470791163996;;0.6447210564383752;0.31531272235099417;0.4281140914601723;0.09029836169656466;0.07467241075108386;0.8294881224558672;0.9102336793930998;0.06330487287060824;0.13225898582305345;0.43205319278732757;0.5679468072126724;9.012246117359634;0.10118782446442924;;1021.8919999999998;0.022311157496860475;;0.03124251003308975;0.004608599193477223;0.3417421136686804;0.022384360724406294;0.021778267179537937;0.0633316610421959;0.03469098143550732;0.01368849339821922;0.005286194133423462;0.028523382241465525;0.028523382241465577;1.2649193295235157;0.013012249439610489;;0.0;0.8884442125156976;0.5032580575098544
astir;level_2;0.579221130475765;;0.5224787668533365;0.33424852568409985;0.38586096451862745;0.2932211808174712;0.2705824716601902;0.6526038086124749;0.8061876215747162;0.1722968685151202;0.174587755092533;0.4365556028763751;0.5634443971236249;9.026307773176807;0.10104735779460383;;1021.8919999999998;0.007365377572133365;;0.009805055111234414;0.005279123342865001;0.2624109526294078;0.00703406596813963;0.010709768794089124;0.09473501902218978;0.05772052745965841;0.004383579604948947;0.01802250259317952;0.029194027749960758;0.02919402774996069;1.2675381778488206;0.012999841143778883;;0.0;0.9631731121393332;0.5104459429258341
astir;level_3;0.446389847426696;0.5021452773948658;0.39697257123552876;0.401245158796649;0.31960652251660343;0.34734058020388175;0.32922207919422536;0.14253813645234636;0.36994005828524;0.17670133799261484;0.32759763934294595;0.4691671128573233;0.5308328871426766;9.129934779633565;0.09996440433018161;;1021.8919999999998;0.015427528247117487;0.009215807699631866;0.017427421759388745;0.011107880302330005;0.14916481526138098;0.01983978065647346;0.01564201985586182;0.06303931244709898;0.08427996298245814;0.004568562697254578;0.006955218606895613;0.025954636531712923;0.02595463653171292;1.2543748905380452;0.012634099605282115;;0.0;0.9228623587644126;0.3925791253723994
celllens_full;level_1;0.8497983558014747;;0.8618080549528129;0.41312695672226224;0.5820437769849827;0.34167164864248495;0.32876615331761305;0.9869272462590187;0.9934363333982583;0.38408932618835745;0.26841183042090794;0.24631506229915562;0.7536849377008444;1.599729750693569;0.42358263017444137;;;0.00700913495251197;;0.019086698227640635;0.031012203804686028;0.16572652021408218;0.033790873269455644;0.034515890778423666;0.007516105801579773;0.0037910656884651557;0.020313141526879054;0.012472306677302383;0.03337056923642305;0.03337056923642305;1.0086929732518055;0.12839857468840066;;;0.9649543252374402;0.6805087111688581
celllens_full;level_2;0.6999444719285227;;0.7157482599864003;0.5750719365181035;0.4808646802865061;0.4679008637853908;0.4560022926311727;0.9646059420467591;0.9821009244396988;0.3220304782347569;0.24193613489041121;0.11998633637368912;0.8800136636263108;0.05737997577601732;0.9465223627494568;;;0.016441135181026606;;0.010857547005795441;0.035342136035280296;0.09373828468141483;0.02581335534217343;0.030453752118218765;0.02003800536840377;0.01022962984716809;0.02856148766902131;0.015817787915644296;0.037786100799510905;0.03778610079951093;0.03457638716108574;0.030151621990570875;;;0.9177943240948669;0.6779110548517413
celllens_full;level_3;0.4904612932842599;0.6872173456260053;0.5175205401729835;0.46147561930707004;0.40655229950137095;0.4370236888899745;0.4308302749932865;0.8907317432374228;0.9436301281550643;0.21561064693247226;0.3107568694501698;0.25120236210477626;0.7487976378952237;0.21175164965771046;0.8277923752844755;;;0.024084119655628285;0.010914424638629771;0.015379398409658664;0.03188752428752071;0.10188377596508745;0.01950700224265954;0.022498230591353783;0.03623069603960512;0.01916782706385013;0.022356885893903326;0.01582348481182195;0.048844976606143876;0.04884497660614387;0.07454153471586511;0.051691341202997766;;;0.8795794017218586;0.5852070374104881
cellsighter;level_1;0.823712289056389;;0.7965132339383016;0.3984947432084108;0.638767588588106;0.31799588717974814;0.2987564076723945;0.9472868477942804;0.9731019219458055;0.3663044926894975;0.23180670524099706;0.3174718844570569;0.6825281155429431;4.322549816645962;0.22811984857336562;12114.0;6124.6810000000005;0.03114130296047851;;0.054163096036221214;0.047423348185708224;0.13115272784345577;0.06786536182689497;0.07600840865445584;0.0411208863659019;0.021198387310708323;0.10105104501854342;0.07803229261697897;0.05833808589553875;0.05833808589553874;2.3894886275409672;0.11991959889592757;0.0;0.0;0.8442934851976075;0.640717700964715
cellsighter;level_2;0.7127841779993498;;0.6992322877034406;0.579199457444752;0.5861271294135533;0.5036155697476007;0.49486131179153325;0.9287919712713126;0.9635708047219221;0.34374783742933035;0.2604101316084706;0.13377167701262882;0.8662283229873712;0.09090168819337256;0.9195372557901678;12114.0;6124.6810000000005;0.042764316780448654;;0.05076669732591361;0.0737312045981481;0.07867112163231717;0.0821961248082119;0.08545579425830457;0.03882934798773277;0.02010210060106192;0.08960371509082699;0.07067814900608045;0.04935898498278719;0.0493589849827872;0.06950900557080558;0.05626851972243794;0.0;0.0;0.7861784160977567;0.6679979815785553
