method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability
CellLENS_Lite;level_1;0.9781881409215897;;0.9573847065797274;0.2445470352303974;0.9573847065797274;0.0;0.0;0.9994701378354156;0.9997350280344058;0.0;0.0;0.1456666979262121;0.854333302073788;1.2579145078809677;0.45481386019342607;;802.312;0.007183406281248305;;0.013730624429909593;0.0017958515703120858;0.013730624429909593;0.0;0.0;0.00024031328492120935;0.00012018975295912979;0.0;0.0;0.023785857684535297;0.023785857684535273;0.419142678628795;0.08047025195557038;;0.0;0.9640829685937585
CellLENS_Lite;level_2;0.8322031281857851;;0.818414937759336;0.30281548274015585;0.7094380804477411;0.4874975853676771;0.4839515930467136;0.9932902364357943;0.9966358565765274;0.3828056968638084;0.2136456263591276;0.1522273168829225;0.8477726831170775;1.2652918760624738;0.45319757099857105;;802.312;0.014434575722134128;;0.017084794094358143;0.0072227537301839985;0.020768385267792948;0.03472991154672345;0.03357404931414217;0.005979967967580732;0.0030012126228101837;0.041578713572983005;0.032219215024137444;0.023865925958761882;0.023865925958761896;0.41867766808025014;0.07963000148355139;;0.0;0.9278271213893293
CellLENS_Lite;level_3;0.6063297811914815;0.7858590792336475;0.5909152341434499;0.3318447919484659;0.49612567679568664;0.49494853857132987;0.48981846123464334;0.8652385519929761;0.9299550580720892;0.29547815579439557;0.34826893743558135;0.2877880352214892;0.7122119647785108;3.4744309140891003;0.23131085697400894;;802.312;0.023845454543333016;0.017719486922477642;0.02740575246572673;0.01730280394035121;0.05484832644397134;0.030733767814539518;0.031379141743951476;0.042309943175925784;0.022971230896309494;0.023250262325397418;0.021928024810092844;0.024122196964454896;0.024122196964454907;0.8462159430374673;0.05237514039863504;;0.0;0.8807727272833349
FuseSOM_12;level_1;0.9788259222043315;;0.958529934795495;0.3262753074014439;0.958529934795495;0.0;0.0;0.9986630744056948;0.999331313632118;0.0;0.0;0.14509224801278905;0.8549077519872108;1.2599811172283344;0.4424815731320848;;81.816;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
FuseSOM_12;level_2;0.7825675976596204;;0.7585002963841138;0.35188834726001145;0.7054959011031828;0.40487106764242575;0.39523683373703977;0.9894297341273435;0.9947008264434807;0.2635431547673903;0.13825271368722547;0.15599093856430846;0.8440090614356915;1.2731965382802959;0.43990916894344456;;81.816;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
FuseSOM_12;level_3;0.44458582110672457;0.7050270132954637;0.42935981031416715;0.28435824799426296;0.26573611876092335;0.3028059428999658;0.2897237880691902;0.520946189733788;0.7217660214597166;0.17232812674462586;0.2321411903937613;0.42956048791515994;0.57043951208484;7.147194555170325;0.1227416374100685;;81.816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
astir;level_1;0.8368875273097668;;0.7201766449318316;0.24211526600630018;0.7201766449318316;0.0;0.0;0.866109302702219;0.930042499353493;0.0;0.0;0.39500051338672415;0.6049994866132758;9.275411516505164;0.09870441190439476;;1021.8919999999998;0.025374353350732105;;0.0373894291971588;0.04949168672211925;0.0373894291971588;0.0;0.0;0.06985993916984855;0.037587433048277226;0.0;0.0;0.0296687061747278;0.02966870617472778;1.3692869452225913;0.013028213983372951;;0.0;0.8731282332463395
astir;level_2;0.6910840264843261;;0.5889994072317724;0.2874170688803376;0.5622638778608502;0.30328724094159776;0.2523299755759308;0.7397351556522391;0.8580900660879343;0.17031854027731194;0.1251469142723648;0.400646231821509;0.5993537681784911;9.290887380743484;0.09852374414955749;;1021.8919999999998;0.029977759289555244;;0.020232808396656504;0.06460917677634873;0.021414397490013573;0.048125798850722774;0.035994105523274145;0.11241687843060524;0.06535091940290441;0.0496296836266764;0.0595854983915244;0.024583325987797295;0.02458332598779731;1.3554541577190395;0.012853757182979417;;0.0;0.8501112035522238
astir;level_3;0.5446363030273642;0.5669405707512687;0.4614380557202134;0.3030568756236669;0.3499283437212135;0.3980520839113084;0.3742807822246362;0.29818602457761495;0.5288027147657339;0.22831309191865037;0.33252855501217654;0.43503200244501095;0.564967997554989;10.43484235165244;0.08816559281124417;;1021.8919999999998;0.030393696682058546;0.02049530175215634;0.02427488542348322;0.04716014851651843;0.12153490380054822;0.037647529440469556;0.029544950397674463;0.16727543488872992;0.15228966410267636;0.016254467170136455;0.014790910200132311;0.026147901116396022;0.026147901116396016;1.1446866970459204;0.008919459323858776;;0.0;0.8480315165897072
celllens_full;level_1;0.9784606409711044;;0.9579893301719029;0.2446151602427761;0.9579893301719029;0.0;0.0;0.9990846991081686;0.9995421039484164;0.0;0.0;0.14312774818065882;0.8568722518193411;1.2476922960126289;0.46957998271777573;;;0.010351737537628209;;0.019703257172547218;0.0025879343844070644;0.019703257172547218;0.0;0.0;0.001185484068507106;0.0005932353470255256;0.0;0.0;0.033635186158649015;0.03363518615864906;0.6185552041717776;0.11466443374270763;;;0.9482413123118589
celllens_full;level_2;0.8106095352749696;;0.8005133372851215;0.28851571376055907;0.6615790765730958;0.4242165577999374;0.4198785593605453;0.9904986187713481;0.9952346964038876;0.32136173427492587;0.16587880022823834;0.153639116648337;0.846360883351663;1.258702615726405;0.4667501587461757;;;0.01573135661573028;;0.02118308977671644;0.007823248925551265;0.019078369677021964;0.03926644208627729;0.037267351211715906;0.005679934297162479;0.002854348701974127;0.04391931912693126;0.030156341911741023;0.02970916228972637;0.029709162289726424;0.613815625254342;0.11301124496767823;;;0.9213432169213486
celllens_full;level_3;0.55704733445423;0.7652753549556083;0.5540391227030231;0.28640602569382845;0.4297805059426283;0.44303769943085847;0.4362149279620845;0.8328526769951392;0.9124222745044464;0.2541491908756745;0.3122005780743477;0.3387322590861115;0.6612677409138885;3.7810050076893233;0.21324309926766757;;;0.017521617478067738;0.01885582634446558;0.012057812499600161;0.014840435970925117;0.16281835676624937;0.015423757876696045;0.016910353637886004;0.03724542301163614;0.020563012403094737;0.012352876342162495;0.015147588108947957;0.03466023019561131;0.03466023019561132;0.7701606817838591;0.03205945152638163;;;0.9123919126096613
