method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability
CellLENS_Lite;level_1;0.9498624286359275;;0.9407685919386584;0.36741375423936284;0.7219867553476853;0.4174005185675357;0.4058616742926026;0.9998109312533237;0.999905457498941;0.38045583550887524;0.21101094686376437;0.08522667125831425;0.9147733287416857;0.44393837845739864;0.723420565996362;;802.312;0.007696302931585818;;0.013099228677291653;0.01247962795491426;0.04248541116080207;0.058296180259448126;0.06286914899855335;0.0001912534918628185;9.563705602855036e-05;0.06372730568196426;0.040858621523858205;0.03265277517275848;0.032652775172758476;0.3444361945226557;0.16235741801582804;;0.0;0.961518485342071
CellLENS_Lite;level_2;0.8113177447986397;;0.8074128849501143;0.3997746378803594;0.6496013908591266;0.5090290450281392;0.506595596441354;0.9947778635654968;0.9973824933963537;0.406559214021376;0.2416005292402769;0.09434247189511905;0.905657528104881;0.450735193333667;0.7201336837458534;;802.312;0.015963076699534583;;0.01808337479487303;0.01572476886380117;0.0361357816962383;0.038495451828223635;0.03722850485983038;0.005472484385025357;0.002744410676620824;0.043595603711549115;0.03555229780800232;0.035367257041652264;0.03536725704165225;0.3459085817392851;0.16230881446543316;;0.0;0.9201846165023271
CellLENS_Lite;level_3;0.5963712565380589;0.7761722088867151;0.5891036506979443;0.3741999795315098;0.5029188643552432;0.4981024466898763;0.4936581110293508;0.8686398088329185;0.9318043788933874;0.29304972736953394;0.35063895529710043;0.2578583324683889;0.7421416675316111;2.5821027363616755;0.2905371237904527;;802.312;0.02489972621658345;0.01867049258277673;0.028240619995525674;0.021101004365872224;0.05561532844331179;0.03220066873208994;0.032706177360877026;0.040273042595368895;0.02180620060977993;0.024001628622390064;0.02287308546951585;0.02280791605400554;0.022807916054005572;0.7544892477718927;0.0691093266124683;;0.0;0.8755013689170827
FuseSOM_12;level_1;0.9208610150251936;;0.9198075107222898;0.2399069474858611;0.958529934795495;0.013549380126459357;0.013263471328221255;0.9949785316251802;0.9974861059810207;0.02480041242726208;0.0021419025027389397;0.2037067822805132;0.7962932177194868;1.3530893352524944;0.42497324050499624;;81.816;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
FuseSOM_12;level_2;0.7352635876924324;;0.7278586136676488;0.2766463416313593;0.7054959011031828;0.3574978598553481;0.3532297550877699;0.9825328910722118;0.9912279712922814;0.23046702080877296;0.12419619497826076;0.20984639373931718;0.7901536062606829;1.3634953792293385;0.42310215995686373;;81.816;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
FuseSOM_12;level_3;0.419202529695944;0.6765455293053818;0.41201465284809047;0.2524806963809912;0.26573611876092335;0.28605222375023853;0.2749503213413581;0.5704854451061951;0.7553048689808607;0.1739062993301987;0.23496855274495818;0.441207342942518;0.5587926570574819;7.0819019804287935;0.12373325022025869;;81.816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
astir;level_1;0.7950539439461574;;0.6932685634975712;0.21130945698255124;0.3708856335493184;0.047195064620563984;0.02819041720878033;0.8432782740536077;0.917589444621844;0.03004806260836467;0.013133046829601874;0.41160389544166237;0.5883961045583377;9.386534237850501;0.09789849945370455;;1021.8919999999998;0.028373821084958582;;0.03838169967370676;0.01500937300964725;0.3355811512442656;0.04329832302514164;0.027505343375533994;0.07439032034261285;0.04043335832242678;0.025874281520276116;0.018058049631891296;0.0369521024996871;0.03695210249968704;1.4859426760653776;0.014211796028512273;;0.0;0.8581308945752071
astir;level_2;0.6568590595679556;;0.5673905871378027;0.25558682389244847;0.34080456357413463;0.281408575743118;0.2422192894517893;0.7186122771470914;0.8460029925267465;0.16488848738267223;0.11643074036429057;0.41667980337692445;0.5833201966230755;9.401073265298717;0.09772963571343271;;1021.8919999999998;0.025730515727727197;;0.018361891670978566;0.017190695809410628;0.2712371321025576;0.03713363830263785;0.029010974052559483;0.10317734799376647;0.06011669675390881;0.04184525462968572;0.04713769325405059;0.03262250544739499;0.03262250544739498;1.4733471090609391;0.014048946582474102;;0.0;0.871347421361364
astir;level_3;0.5194589629440445;0.5462228773605485;0.44498242340815236;0.2887181994743727;0.28761420963790957;0.38108187017297135;0.3589791867902116;0.29047639232129197;0.5255177798248936;0.21360613502473208;0.3201111506650879;0.4489493579247986;0.5510506420752014;10.521780559715387;0.08768543985883576;;1021.8919999999998;0.026424727040078783;0.018508053837682018;0.02174585785122633;0.0273569159907244;0.1894235120591075;0.03286236838746142;0.025878529654597266;0.14801701757619912;0.1337322670917845;0.014459931275065759;0.011975390297108651;0.033306796635924174;0.03330679663592416;1.2798432344771806;0.010069305378873723;;0.0;0.8678763647996061
celllens_full;level_1;0.9408520712323163;;0.9332260156312214;0.3330856310406523;0.543195485450931;0.26783883399038794;0.25954894277936036;0.9983946084612226;0.9991965787300192;0.2394470556638939;0.1337815748391959;0.12021266610195654;0.8797873338980434;0.757354390393803;0.6185173640685209;;;0.010009810200342575;;0.016904847716286343;0.041953922871021294;0.20643043842899544;0.14408608814236468;0.14185580349026378;0.0020047392077788464;0.0010034412335422139;0.13733712897576594;0.06080732566818943;0.049311266330891286;0.049311266330891314;0.6407397281184187;0.17339853549718723;;;0.9499509489982871
