Actual,B,CD4 T,CD4 Treg,CD8 T,DC,Endothelial,M1,M2,NK,Neutrophil,Other,Tumor
B,4372,192,64,9,33,3,1,23,3,13,42,71
CD4 T,143,9349,662,174,243,29,22,116,29,104,60,36
CD4 Treg,49,656,6959,70,100,14,2,12,18,21,76,16
CD8 T,14,103,110,2262,33,4,10,31,10,12,28,7
DC,53,273,216,84,3070,7,27,165,12,31,13,14
Endothelial,7,16,8,2,4,1089,1,8,5,7,15,0
M1,6,125,33,27,97,2,614,61,3,4,6,3
M2,17,124,11,88,117,10,16,4117,9,97,127,12
NK,16,18,12,1,9,2,0,24,848,5,32,10
Neutrophil,7,43,26,25,5,5,0,51,4,3177,16,7
Other,22,45,11,1,72,12,2,120,16,122,2719,9
Tumor,46,40,27,16,56,2,1,16,7,14,16,1180
