Populations,Ecad,SMA,PDGFRb,CD3,CD4,CD8a,FOXP3,CD7,CD38,CD20,CD15,MPO,CD163,CD68,CD206,CD11c,HLADR,CD303
Cancer,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1
Stroma,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1
CD4+_T_cell,-1,-1,,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1
CD8+_T_cell,-1,-1,,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1
Treg,-1,-1,,1,1,,1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1
NK_cell,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Plasma_cell,-1,-1,,-1,-1,-1,-1,-1,1,,,-1,-1,-1,-1,-1,-1,-1
B_cell,-1,-1,,-1,,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,,-1
Neutrophil,-1,-1,,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1
M2_Macrophage,-1,-1,,-1,,,-1,-1,-1,-1,-1,-1,1,,1,,,-1
Dendritic_cell,-1,-1,,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
Plasmacytoid_dendritic_cell,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,1,1
BnT,-1,-1,-1,1,1,,-1,-1,-1,1,-1,-1,-1,-1,-1,,,-1
