,cell_type,abundance_pct,dataset,abundance_bin
0,Cancer,35.41392904073587,Breast_Jun0524,abundant
1,Macrophage,15.847568988173455,Breast_Jun0524,common
2,Fibroblast,12.457293035479632,Breast_Jun0524,common
3,CD4+_T_cell,9.408672798948752,Breast_Jun0524,common
4,CD8+_T_cell,9.145860709592641,Breast_Jun0524,common
5,Endothelial,7.516425755584757,Breast_Jun0524,common
6,Monocyte,3.337713534822602,Breast_Jun0524,rare
7,undefined,2.102496714848883,Breast_Jun0524,rare
8,B_cell,1.5637319316688567,Breast_Jun0524,rare
9,Plasma_cell,1.064388961892247,Breast_Jun0524,rare
10,Neutrophil,0.7490144546649146,Breast_Jun0524,ultra_rare
11,Mast_cell,0.683311432325887,Breast_Jun0524,ultra_rare
12,T_cell,0.6307490144546649,Breast_Jun0524,ultra_rare
13,APC,0.07884362680683311,Breast_Jun0524,ultra_rare
14,Cancer,32.41516966067864,CRC_Feb2623,abundant
15,Macrophage,25.22954091816367,CRC_Feb2623,abundant
16,CD8+_T_cell,15.728542914171657,CRC_Feb2623,common
17,CD4+_T_cell,4.431137724550898,CRC_Feb2623,rare
18,Neutrophil,4.07185628742515,CRC_Feb2623,rare
19,undefined,4.031936127744511,CRC_Feb2623,rare
20,Endothelial,2.874251497005988,CRC_Feb2623,rare
21,B_cell,2.19560878243513,CRC_Feb2623,rare
22,Treg,2.19560878243513,CRC_Feb2623,rare
23,Fibroblast,1.9161676646706587,CRC_Feb2623,rare
24,VSMC,1.7564870259481038,CRC_Feb2623,rare
25,T_cell,1.157684630738523,CRC_Feb2623,rare
26,Lymphatic,0.9580838323353293,CRC_Feb2623,ultra_rare
27,Plasma_cell,0.43912175648702595,CRC_Feb2623,ultra_rare
28,Neuronal,0.27944111776447106,CRC_Feb2623,ultra_rare
29,Stromal,0.23952095808383234,CRC_Feb2623,ultra_rare
30,Dendritic_cell,0.07984031936127745,CRC_Feb2623,ultra_rare
31,Epithelial,20.28985507246377,GVHD_Feb1323,abundant
32,Fibroblast,19.39799331103679,GVHD_Feb1323,common
33,Macrophage,17.112597547380158,GVHD_Feb1323,common
