method;dataset;level;Weighted F1;Hierarchical F1;Macro F1;MCC;ARI;JSD Scaled;Overall Performance;Stability;Scalability
CellLENS_Lite;cHL_2_MIBI;level_1;0.8567535003195254;;0.4440796920738522;0.3875390746449053;0.4100737178604749;0.7749342524482511;0.42920232111750367;0.9654111156028528;0.6110709722222223
CellLENS_Lite;cHL_2_MIBI;level_2;0.7294201194486736;;0.6124572284128994;0.5233155763846694;0.386249737325098;0.8934677546570379;0.4819778896161539;0.9444370075729864;0.6110709722222223
CellLENS_Lite;cHL_2_MIBI;level_3;0.532263450565873;0.7148653537700383;0.5081793456552626;0.4832002686818534;0.2611978660673753;0.80128100411892;0.40048762473762334;0.904289916791864;0.6110709722222223
FuseSOM;cHL_2_MIBI;level_1;0.8376248744473205;;0.3043179490571749;0.2717646970632251;0.4041762537940251;0.696801766641025;0.36518682143609627;1.0;0.6235795833333333
FuseSOM;cHL_2_MIBI;level_2;0.7123338599549123;;0.5102388627957458;0.5012638390379154;0.3327426051158563;0.8628137663673237;0.4464310183328655;1.0;0.6235795833333333
FuseSOM;cHL_2_MIBI;level_3;0.4066927838149204;0.6786285060908538;0.3341887881413045;0.3637115843320348;0.1898166570176981;0.6703405544317758;0.3002771189982841;1.0;0.6235795833333333
Astir;cHL_2_MIBI;level_1;0.7128470791163996;;0.3153127223509941;0.0902983616965646;0.0633048728706082;0.5679468072126724;0.268395756163305;0.8884442125156976;0.8572588194444444
Astir;cHL_2_MIBI;level_2;0.579221130475765;;0.3342485256840998;0.2932211808174712;0.1722968685151202;0.5634443971236249;0.2995663993124812;0.9631731121393332;0.8572588194444444
Astir;cHL_2_MIBI;level_3;0.446389847426696;0.5021452773948658;0.401245158796649;0.3473405802038817;0.1767013379926148;0.5308328871426766;0.2989755768849079;0.9228623587644126;0.8572588194444444
CellLENS_Full;cHL_2_MIBI;level_1;0.8497983558014747;;0.4131269567222622;0.3416716486424849;0.3840893261883574;0.7536849377008444;0.40809679662035525;0.9649543252374402;0.3083576388888889
CellLENS_Full;cHL_2_MIBI;level_2;0.6999444719285227;;0.5750719365181035;0.4679008637853908;0.3220304782347569;0.8800136636263108;0.4519497534632004;0.9177943240948668;0.3083576388888889
CellLENS_Full;cHL_2_MIBI;level_3;0.4904612932842599;0.6872173456260053;0.46147561930707;0.4370236888899745;0.2156106469324722;0.7487976378952237;0.36527823686691513;0.8795794017218586;0.3083576388888889
CellSighter;cHL_2_MIBI;level_1;0.823712289056389;;0.3984947432084108;0.3179958871797481;0.3663044926894975;0.6825281155429431;0.386299825606967;0.8442934851976075;0.3083576388888889
CellSighter;cHL_2_MIBI;level_2;0.7127841779993498;;0.579199457444752;0.5036155697476007;0.3437478374293303;0.8662283229873712;0.4620556996711975;0.7861784160977567;0.3083576388888889
CellSighter;cHL_2_MIBI;level_3;0.5408956625578207;0.674214815632091;0.5036940339091054;0.4710188002619069;0.2734985184917498;0.8103576237492767;0.400608669172707;0.636100928298519;0.3083576388888889
Deepcelltypes;cHL_2_MIBI;level_1;0.6220538260429899;;0.034791082618751;0.0165281730904969;0.0141371509888686;0.5812018452535082;0.18066765681825842;1.0;0.9471981597222222
Deepcelltypes;cHL_2_MIBI;level_2;0.4047929514951577;;0.0332294633232064;0.0868259901026942;0.0317074905742213;0.5549013885583944;0.1579027287973504;1.0;0.9471981597222222
Deepcelltypes;cHL_2_MIBI;level_3;0.1055390194744106;0.2933473907994982;0.018142490343647;0.0222562995362707;0.0091873521957007;0.3460055569246181;0.06722165609849946;1.0;0.9471981597222222
Deepcelltypes_adapted;cHL_2_MIBI;level_1;0.6825993314763501;;0.2024302787860549;-0.0001970252313185;0.0005232453974802;0.5950555640484174;0.22111107106477182;1.0;0.9471981597222222
Deepcelltypes_adapted;cHL_2_MIBI;level_2;0.4431631849146054;;0.191408039104474;0.0909549090939845;0.0320591682177104;0.5922626957048938;0.20101495616803267;1.0;0.9471981597222222
Deepcelltypes_adapted;cHL_2_MIBI;level_3;0.1273581025389814;0.3208751876764494;0.0655623723546002;0.0266250086492462;0.0107767077870704;0.4154008442150037;0.08952501053577237;1.0;0.9471981597222222
